text,label
Illinois no closer to budget deal after key legislative elections,Human
Factbox: How would a brokered Republican convention work?,Human
Top Senate Republican tells Supreme Court nominee: Senate will not act,Human
Chances of Republican brokered convention up since Super Tuesday: PredictIt,Human
"After crucial win, Kasich sees path to Republican nomination",Human
Kerry speaks with Russian counterpart ahead of Moscow visit,Human
South Carolina Governor Haley supports Cruz in White House race,Human
Rubio ends White House bid after humbling home-state loss,Human
Republican Ted Cruz says Senate should not vote on President Obama's Supreme Court nominee,Human
Senate advances bill to aid drug-dependent newborns,Human
Senate blocks bill that would override state GMO labeling laws,Human
Factbox: Reaction to Obama's Supreme Court nominee,Human
Supreme Court choice based solely on qualifications: White House,Human
Spy plane contract to be awarded in fiscal 2018: U.S. Air Force,Human
Democratic presidential candidate Sanders backs Obama's court pick: statement,Human
White House: did not coordinate with Clinton on Supreme Court pick,Human
Senate Republican leader: Obama politicizing Supreme Court process,Human
Clinton: Senate should consider Obama's high court pick 'immediately',Human
House Speaker Ryan will not accept a presidential nomination,Human
House Speaker backs Senate over Obama's Supreme Court nominee,Human
Trump predicts riots if denied Republican presidential nomination: CNN interview,Human
Obama to nominate Garland to Supreme Court: source,Human
Senate Democrat says Garland is Obama's Supreme Court choice,Human
Trump says will not attend next Republican presidential debate,Human
"Obama adds Saudi, Britain stops to Germany trip: White House",Human
Obama to announce Supreme Court nominee,Human
Republican money class fears stigma of becoming Trump donors,Human
Embattled Chicago prosecutor defeated in election primary,Human
How Rubio’s campaign failed: problems from the start,Human
USDA chief says farmers looking ahead to possible Cuba markets,Human
All clear at Rubio campaign office after white powder scare,Human
Trump says foreign policy team still not ready,Human
Graphic account of Hulk Hogan sex tape read in Florida court,Human
Secret Service manpower shortage as campaigns ramp up,Human
Democrats push SEC nominees on corporate political spending,Human
Obama calls for a halt to 'vicious' tone and violence on campaign trail,Human
House Speaker Ryan calls for less violence on presidential campaign trail,Human
Obama administration reverses course on Atlantic oil drilling,Human
No word Tuesday on Supreme Court nomination: White House,Human
Liberal groups urge non-violent movement to stop Trump,Human
Energy market affected decision on Atlantic drilling: White House,Human
House Republicans float controversial budget plan,Human
Kasich campaign denies report of Romney endorsement,Human
Four Breitbart journalists quit after alleged Trump rally assault,Human
Anti-Trump protesters: patchwork of people and Facebook pages,Human
Trump will not be charged with 'inciting riot' in North Carolina,Human
Inside Kasich's long-shot strategy to beat Trump to the GOP nomination,Human
Palin curtails Florida appearances for Trump rally after husband's accident,Human
Trump's appeal divides Tea Party loyalties in crucial states,Human
U.S. eases Cuba trade and travel rules ahead of Obama visit,Human
"Todd Palin in intensive care after snowmobile accident, wife says",Human
U.S. hopes easing limits on Cuba will boost reform in Havana: officials,Human
Republican Party gears up to fight Obama court nominee,Human
Reforms aimed at making Pentagon acquisition more agile: House,Human
Lawmakers see strong board as part of Puerto Rico debt fix,Human
Obama predicts Congress will lift Cuba embargo under next president: CNN,Human
Obama's prisoner clemency plan faltering as cases pile up,Human
SEC approves budget of independent accounting board,Human
Clinton will call for stricter 'rules of origin' at Ohio campaign stop,Human
Trump says accepts no responsibility for campaign protesters,Human
Trump without the hair? EU's migration policy gets rough,Human
New disturbance at Trump rally as crucial Republican contests near,Human
White House narrows search to three for Supreme Court,Human
Trump spokeswoman denies media report that Ohio rally canceled,Human
Nancy Reagan remembered at funeral for fierce loyalty to husband,Human
EU's Schulz wouldn't favor a Trump White House,Human
"Aiming to sidestep Apple dispute, Obama makes case for access to device data",Human
"Trump snags former rival's backing, scraps Chicago rally",Human
Trump's Islam comments draw attacks as Republicans discover civility,Human
Ohio's 'dirty little secret': blue-collar Democrats for Trump,Human
Mexico's Carstens says 'implicitly' weighing risk of Trump victory,Human
Trump's Chicago rally called off for safety reasons amid chaos,Human
Ohio judge rules in favor of 17-year-olds wanting to vote,Human
Trudeau sees no flood of Americans to Canada if Trump wins,Human
Reporter files criminal charge of battery against Trump campaign chief,Human
Group ends effort to draft House Speaker Ryan into election,Human
Trump calls for trade deals with individual countries,Human
Big Bang Theory' trumps TV audience for latest Republican debate,Human
White House says U.S. values deeply special relationship with UK,Human
U.S. candidate Rubio: conditions not right for Israel-Palestinian two-state solution,Human
TV audience for CNN Republican presidential debate down from last week,Human
NY Assembly speaker drives home priorities ahead of budget release,Human
Rubio campaign urges supporters in Ohio to back Kasich,Human
American fanfare for Canada's PM raises eyebrows back home,Human
Exclusive: U.S. labor powerhouse to launch anti-Trump ad campaign,Human
U.S. Navy may raise current 308-ship target for fleet,Human
Some Hispanic Republicans fear for party's future if Trump wins in Florida,Human
"Obama, Trudeau mark better Canada ties with climate, trade accords",Human
Obama on growing friendship with Trudeau: 'What's not to like?',Human
Exclusive: House Speaker Ryan seeks halt to presidential 'Draft Ryan' group,Human
Obama hopes 'cooler heads' prevail on Supreme Court nominee,Human
Canada's Trudeau says will work with next U.S. president,Human
"Trudeau, Obama say softwood lumber issue will be resolved soon",Human
Former Republican presidential hopeful Carson to endorse Trump: Washington Post,Human
Suspicious substance at Cruz's Houston headquarters is non-toxic,Human
Republican candidate Cruz snares first Senate endorsement,Human
Bid to block Pakistan F-16 sale fails in U.S. Senate,Human
Democratic senators urge speed on Supreme Court nominee,Human
Obama will not address Apple dispute in Texas remarks: official,Human
"Blame me for Trump? No way, says Obama",Human
"Secretary of State Kerry to visit Saudi Arabia, France",Human
Republicans may generate less heat at Miami debate,Human
Senate banking panel approves Szubin for key sanctions post,Human
Senator Lee to endorse Republican presidential candidate Cruz: reports,Human
"Cruz, Rubio want to send more prisoners to Guantanamo",Human
Senate panel backs nomination of Fanning as U.S. Army secretary,Human
